loss,pr_auc,roc_auc,val_loss,val_pr_auc,val_roc_auc,learning_rate
0.32972952723503113,0.7764661312103271,0.9331993460655212,0.5925517678260803,0.19187918305397034,0.9362953305244446,0.0010000000474974513
0.2867811620235443,0.8223621845245361,0.9481159448623657,0.5120287537574768,0.19810965657234192,0.9366605877876282,0.0010000000474974513
0.2801082730293274,0.8272753953933716,0.9500706791877747,0.38948744535446167,0.2050187736749649,0.9341236352920532,0.0010000000474974513
0.2725120186805725,0.8370711803436279,0.9526683688163757,0.4738270044326782,0.22298866510391235,0.9306785464286804,0.0010000000474974513
0.27183544635772705,0.8382917046546936,0.9531540274620056,0.2671613395214081,0.25353312492370605,0.9341763854026794,0.0010000000474974513
0.270401269197464,0.8400446772575378,0.9531446695327759,0.4509342312812805,0.2556186318397522,0.9286018013954163,0.0010000000474974513
0.2653394639492035,0.8448313474655151,0.9549933671951294,0.28420373797416687,0.29201334714889526,0.92535400390625,0.0010000000474974513
0.2611776292324066,0.8462806344032288,0.9564114809036255,0.21752279996871948,0.3154546916484833,0.9291765093803406,0.0010000000474974513
0.25842106342315674,0.8500775694847107,0.9574036598205566,0.19921857118606567,0.31683793663978577,0.9236512184143066,0.0010000000474974513
0.25532233715057373,0.850926399230957,0.9582550525665283,0.40373295545578003,0.31702136993408203,0.9208158850669861,0.0010000000474974513
0.25387516617774963,0.8506816625595093,0.9590990543365479,0.530325174331665,0.28701671957969666,0.9065587520599365,0.0010000000474974513
0.25394338369369507,0.8492101430892944,0.9586871266365051,0.4054826498031616,0.2716670632362366,0.9002690315246582,0.0010000000474974513
0.24604152143001556,0.8545668125152588,0.9614110589027405,0.30067819356918335,0.3127986192703247,0.9053521156311035,0.0005000000237487257
0.24366533756256104,0.8598471879959106,0.9619669318199158,0.43896588683128357,0.3075399100780487,0.8917021751403809,0.0005000000237487257
0.2388898730278015,0.8601304292678833,0.9636862277984619,0.5169931054115295,0.3134201765060425,0.8853849172592163,0.0002500000118743628
